index,square,segment,segment_index,choices,type
93,Everyone Always Has 1 Open Relic Slot,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Other Conducts
94,Never Break an Item,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Other Conducts
95,Never Use Ether or Tincture,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Other Conducts
96,Never Equip Safety Bit or Memento Ring,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Other Conducts
97,Never Land on Solitary Island,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Other Conducts
98,Never Cast Vanish or Phantom,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Cast Conducts
99,Never Cast Float,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Cast Conducts
100,"Never Cast Life, Life 2, or Life 3",Segment 5 - (Airship Get to 6 Segments Complete),5,1,Cast Conducts
101,"Never Cast Cure, Cure 2, or Cure 3",Segment 5 - (Airship Get to 6 Segments Complete),5,1,Cast Conducts
102,Never Cast Ultima,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Cast Conducts
103,Never Cast Osmose,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Cast Conducts
104,Never Cast X-Zone,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Cast Conducts
105,Never Buy Fenix Down,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Shop Conducts
106,Never Buy Relics,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Shop Conducts
107,Never Buy Armor,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Shop Conducts
108,Never Buy Weapons,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Shop Conducts
109,Never Sell Anything,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Shop Conducts
110,Never Buy Shuriken or Ninja Star,Segment 5 - (Airship Get to 6 Segments Complete),5,1,Shop Conducts
