index,square,segment,segment_index,choices,type,help
99,Always Have 1 Relic Ring Equipped,Segment 6 - (6 Segments Complete to Final Dungeon),6,2,Other Conducts,
100,Never Sell Anything,Segment 6 - (6 Segments Complete to Final Dungeon),6,2,Other Conducts,
101,Never Equip Wall Ring,Segment 6 - (6 Segments Complete to Final Dungeon),6,2,Other Conducts,
102,Never Cast Vanish or Phantom,Segment 6 - (6 Segments Complete to Final Dungeon),6,2,Other Conducts,
103,Never Cast Float,Segment 6 - (6 Segments Complete to Final Dungeon),6,2,Other Conducts,
104,Everyone Always Has 1 Open Relic Slot,Segment 6 - (6 Segments Complete to Final Dungeon),6,2,Other Conducts,
105,"Never Cast Cure, Cure 2, or Cure 3",Segment 6 - (6 Segments Complete to Final Dungeon),6,2,Other Conducts,
106,Never Cast Ultima,Segment 6 - (6 Segments Complete to Final Dungeon),6,2,Other Conducts,
107,"Never Cast Life, Life 2, or Life 3",Segment 6 - (6 Segments Complete to Final Dungeon),6,2,Other Conducts,
108,Never Equip Safety Bit or Memento Ring,Segment 6 - (6 Segments Complete to Final Dungeon),6,2,Other Conducts,
109,Never Cast Osmose,Segment 6 - (6 Segments Complete to Final Dungeon),6,2,Other Conducts,
110,Never Use X-Potion,Segment 6 - (6 Segments Complete to Final Dungeon),6,1,Use Conducts,
111,Never Use Elixir,Segment 6 - (6 Segments Complete to Final Dungeon),6,1,Use Conducts,
112,Never Use Tincture or Ether,Segment 6 - (6 Segments Complete to Final Dungeon),6,1,Use Conducts,
113,Never Use Smoke Bomb or Warp Stone,Segment 6 - (6 Segments Complete to Final Dungeon),6,1,Use Conducts,
114,Never Break an Item,Segment 6 - (6 Segments Complete to Final Dungeon),6,1,Use Conducts,
115,Never Use Remedy,Segment 6 - (6 Segments Complete to Final Dungeon),6,1,Use Conducts,
