index,square,segment,segment_index,choices,type
79,Defeat Goddess,Segment 7 - (Kefka's Tower),7,2,Boss Completions
80,Never Summon an Esper in Combat,Segment 7 - (Kefka's Tower),7,1,Other Conducts
81,Never Back Row a Character,Segment 7 - (Kefka's Tower),7,1,Other Conducts
82,Always Have 1 Open Character Slot,Segment 7 - (Kefka's Tower),7,1,Other Conducts
83,Always Have 1 Relic Ring Equipped,Segment 7 - (Kefka's Tower),7,1,Other Conducts
84,Everyone Always Has 1 Open Relic Slot,Segment 7 - (Kefka's Tower),7,1,Other Conducts
85,Always Have 1 Character Imp'ed,Segment 7 - (Kefka's Tower),7,1,Other Conducts
86,Never Use Elixir,Segment 7 - (Kefka's Tower),7,1,Use Conducts
87,Never Use Megalixer,Segment 7 - (Kefka's Tower),7,1,Use Conducts
88,Never Use X-Potion,Segment 7 - (Kefka's Tower),7,1,Use Conducts
89,Never Use X-Ether,Segment 7 - (Kefka's Tower),7,1,Use Conducts
90,Never Use Remedy,Segment 7 - (Kefka's Tower),7,1,Use Conducts
91,Never Break an Item,Segment 7 - (Kefka's Tower),7,1,Use Conducts
92,Never Use Ether or Tincture,Segment 7 - (Kefka's Tower),7,1,Use Conducts
93,Never Cast Quick,Segment 7 - (Kefka's Tower),7,1,Cast Conducts
94,Never Cast Float,Segment 7 - (Kefka's Tower),7,1,Cast Conducts
95,Never Cast Osmose,Segment 7 - (Kefka's Tower),7,1,Cast Conducts
96,Never Cast Ultima,Segment 7 - (Kefka's Tower),7,1,Cast Conducts
97,Never Cast Life or Life 2,Segment 7 - (Kefka's Tower),7,1,Cast Conducts
98,Never Cast Life 3,Segment 7 - (Kefka's Tower),7,1,Cast Conducts
99,Never Cast Cure 3,Segment 7 - (Kefka's Tower),7,1,Cast Conducts
100,Never Equip Safety Bit or Memento Ring,Segment 7 - (Kefka's Tower),7,1,Equip Conducts
101,Never Equip Ribbon,Segment 7 - (Kefka's Tower),7,1,Equip Conducts
102,Never Equip Paladin Shld,Segment 7 - (Kefka's Tower),7,1,Equip Conducts
103,Never Equip Economizer,Segment 7 - (Kefka's Tower),7,1,Equip Conducts
104,Never Equip Moogle Charm,Segment 7 - (Kefka's Tower),7,1,Equip Conducts
105,Never Equip Wall Ring,Segment 7 - (Kefka's Tower),7,1,Equip Conducts
106,Never Equip Merit Award,Segment 7 - (Kefka's Tower),7,1,Equip Conducts
