index,square,segment,segment_index,choices,type,help
76,Loop in Lete River 5 Times,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
77,Use Magicite in a Boss Battle,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
78,"See ""Need MP"" Message",Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
79,See a Weapon Proc,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
80,Check the 4 Boxes in Figaro Castle,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
81,Check all Chests in Narshe Cave,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
82,Learn 6 Different Lores,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
83,"Spend 25,000gp in One Purchase",Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
84,Revive 2 Types of Enemies to Death,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
85,Learn a Spell from an Item,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
86,Sell 2 Things for 1gp,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
87,Kick the Box in the Imperial Camp,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
88,Check the Doma Jar,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
89,Break 4 Different Items,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
90,See an Enemy Revive from Reraise Status,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
91,Recruit a Ghost,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
92,Have Dadaluma Whistle for Help,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
93,Fight Siegfried,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
94,See Takedown AND Wild Fang,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
95,Check all Treasures in Zozo,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
96,Trigger the Narshe Security Cave Fight,Segment 1 - (Start Through Ultros 2),1,5,Task Completions,
97,Never Recruit Shadow,Segment 1 - (Start Through Ultros 2),1,1,Other Conducts,
98,Never Back Row a Character,Segment 1 - (Start Through Ultros 2),1,1,Other Conducts,
99,Always Have an Open Character Slot (When Possible),Segment 1 - (Start Through Ultros 2),1,1,Other Conducts,
100,Never Visit Mobliz,Segment 1 - (Start Through Ultros 2),1,1,Other Conducts,
101,Never Ride Chocobos,Segment 1 - (Start Through Ultros 2),1,1,Other Conducts,
102,Never Visit Kolingen,Segment 1 - (Start Through Ultros 2),1,1,Other Conducts,
103,Everyone Always Has One Open Relic Slot,Segment 1 - (Start Through Ultros 2),1,1,Other Conducts,
104,"Never Cast Cure, Cure 2, or Cure 3",Segment 1 - (Start Through Ultros 2),1,1,Other Conducts,
105,Never Equip an Esper,Segment 1 - (Start Through Ultros 2),1,1,Other Conducts,
106,Never Use Potion,Segment 1 - (Start Through Ultros 2),1,1,Use Conducts,
107,Never Use Tonic,Segment 1 - (Start Through Ultros 2),1,1,Use Conducts,
108,Never Use Tent,Segment 1 - (Start Through Ultros 2),1,1,Use Conducts,
109,Never Break an Item,Segment 1 - (Start Through Ultros 2),1,1,Use Conducts,
110,Never Use Smoke Bomb,Segment 1 - (Start Through Ultros 2),1,1,Use Conducts,
111,Never Use Remedy,Segment 1 - (Start Through Ultros 2),1,1,Use Conducts,
112,Never Use Antidote,Segment 1 - (Start Through Ultros 2),1,1,Use Conducts,
113,Never Buy Fenix Down,Segment 1 - (Start Through Ultros 2),1,1,Shop Conducts,
114,Never Buy Relics,Segment 1 - (Start Through Ultros 2),1,1,Shop Conducts,
115,Never Buy Armor,Segment 1 - (Start Through Ultros 2),1,1,Shop Conducts,
116,Never Buy Weapons,Segment 1 - (Start Through Ultros 2),1,1,Shop Conducts,
117,Never Sell Anything,Segment 1 - (Start Through Ultros 2),1,1,Shop Conducts,
118,Never Buy Tools,Segment 1 - (Start Through Ultros 2),1,1,Shop Conducts,
119,Never Buy Shuriken,Segment 1 - (Start Through Ultros 2),1,1,Shop Conducts,
